1,0.491868,0.172496
2,0.189883,0.139701
3,0.163468,0.168303
4,0.153370,0.139595
5,0.144417,0.161598
6,0.144560,0.182786
7,0.139172,0.119827
8,0.135286,0.114470
9,0.134065,0.123214
10,0.130230,0.231073
11,0.126138,0.241103
12,0.123782,0.272760
13,0.119357,0.202554
14,0.114986,0.118163
15,0.105032,0.097265
16,0.098125,0.091912
17,0.095080,0.190462
18,0.086162,0.185186
19,0.084529,0.083301
20,0.082126,0.106783
21,0.083772,0.073045
22,0.077866,0.236477
23,0.077572,0.319244
24,0.074773,0.067287
25,0.070232,0.148903
26,0.070711,0.070294
27,0.069715,0.067717
28,0.065675,0.110067
29,0.067867,0.069210
30,0.064380,0.062098
31,0.063333,0.063260
32,0.062401,0.061528
33,0.062510,0.082124
34,0.062536,0.059842
35,0.063052,0.063906
36,0.060303,0.060315
37,0.060309,0.063457
38,0.057657,0.056339
39,0.057800,0.056299
40,0.056486,0.055242
41,0.055442,0.056871
42,0.055671,0.054944
43,0.054625,0.054920
44,0.053926,0.055606
45,0.054699,0.053917
46,0.053791,0.054295
47,0.053408,0.053832
48,0.055380,0.054103
49,0.053038,0.053890
50,0.052821,0.055128
